监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
金果湾 (惠州),惠州,2021-03,春季,6,11,61,0.7,700.0,30,19,0.33333333333333337,0.13461538461538464,0.3402061855670103,0.5714285714285714,0.32758620689655177,0.3095238095238095,19.999999999999996,-52.17391304347826,-10.29411764705882,16.666666666666675,-21.052631578947366,5.555555555555558,2.016693491364661
下埔 (惠州),惠州,2021-04,春季,5,19,74,0.5,500.0,35,15,0.24999999999999997,0.2884615384615385,0.4742268041237113,0.28571428571428575,0.41379310344827586,0.21428571428571425,-16.666666666666664,72.72727272727273,21.311475409836067,-28.57142857142857,16.666666666666675,-21.052631578947366,1.9264814460335256
金果湾 (惠州),惠州,2021-04,春季,6,10,63,0.7,700.0,30,15,0.33333333333333337,0.11538461538461539,0.3608247422680413,0.5714285714285714,0.32758620689655177,0.21428571428571425,19.999999999999996,-47.36842105263158,-14.864864864864868,39.99999999999999,-14.28571428571429,0.0,1.9228431835968274
下埔 (惠州),惠州,2021-05,春季,4,16,72,0.6,600.0,27,13,0.16666666666666666,0.23076923076923078,0.45360824742268047,0.42857142857142855,0.27586206896551724,0.16666666666666669,-33.333333333333336,60.00000000000001,14.28571428571428,-14.28571428571429,-9.999999999999998,-13.33333333333333,1.7221443090621904
金果湾 (惠州),惠州,2021-05,春季,6,8,63,0.6,600.0,22,14,0.33333333333333337,0.07692307692307693,0.3608247422680413,0.42857142857142855,0.1896551724137931,0.19047619047619047,50.0,-50.0,-12.5,0.0,-18.518518518518523,7.692307692307687,1.5797839439858639
下埔 (惠州),惠州,2021-06,夏季,3,16,43,0.4,400.0,21,8,0.08333333333333334,0.23076923076923078,0.15463917525773196,0.14285714285714285,0.1724137931034483,0.047619047619047616,-50.0,100.0,-31.746031746031743,-33.333333333333336,-4.545454545454541,-42.85714285714286,0.8316317229399348
金果湾 (惠州),惠州,2021-06,夏季,6,9,36,0.4,400.0,18,10,0.33333333333333337,0.09615384615384615,0.08247422680412375,0.14285714285714285,0.12068965517241381,0.09523809523809523,100.0,-43.75,-16.279069767441857,0.0,-14.28571428571429,25.0,0.8707462995589552
下埔 (惠州),惠州,2021-07,夏季,3,16,70,0.5,500.0,31,12,0.08333333333333334,0.23076923076923078,0.4329896907216495,0.28571428571428575,0.3448275862068965,0.14285714285714285,-50.0,77.77777777777777,94.44444444444444,25.0,72.22222222222223,19.999999999999996,1.5204912696025388
金果湾 (惠州),惠州,2021-07,夏季,6,9,55,0.5,500.0,24,15,0.33333333333333337,0.09615384615384615,0.27835051546391754,0.28571428571428575,0.22413793103448276,0.21428571428571425,100.0,-43.75,-21.42857142857143,0.0,-22.580645161290324,25.0,1.4319756259855796
下埔 (惠州),惠州,2021-08,夏季,3,15,56,0.4,400.0,24,9,0.08333333333333334,0.21153846153846156,0.28865979381443296,0.14285714285714285,0.22413793103448276,0.07142857142857142,-50.0,66.66666666666667,1.8181818181818077,-19.999999999999996,0.0,-40.0,1.021955234006425
金果湾 (惠州),惠州,2021-08,夏季,5,8,42,0.5,500.0,21,13,0.24999999999999997,0.07692307692307693,0.14432989690721654,0.28571428571428575,0.1724137931034483,0.16666666666666669,66.66666666666667,-46.666666666666664,-25.0,25.0,-12.5,44.44444444444444,1.096047719314694
下埔 (惠州),惠州,2021-09,秋季,6,17,102,0.7,700.0,49,23,0.33333333333333337,0.25,0.7628865979381444,0.5714285714285714,0.6551724137931034,0.4047619047619047,19.999999999999996,112.5,142.85714285714283,39.99999999999999,133.33333333333334,76.92307692307692,2.9775828212550572
金果湾 (惠州),惠州,2021-09,秋季,5,9,86,0.4,400.0,41,27,0.24999999999999997,0.09615384615384615,0.5979381443298969,0.14285714285714285,0.5172413793103448,0.49999999999999994,-16.666666666666664,-47.05882352941176,-15.686274509803921,-42.85714285714286,-16.326530612244895,17.391304347826097,2.1041905126512304
下埔 (惠州),惠州,2021-10,秋季,8,16,95,0.5,500.0,43,19,0.5,0.23076923076923078,0.6907216494845361,0.28571428571428575,0.5517241379310345,0.3095238095238095,60.00000000000001,77.77777777777777,10.465116279069765,25.0,4.878048780487809,-29.629629629629626,2.5684531134228967
金果湾 (惠州),惠州,2021-10,秋季,5,8,80,0.3,300.0,34,21,0.24999999999999997,0.07692307692307693,0.5360824742268041,0.0,0.396551724137931,0.35714285714285715,-37.5,-50.0,-15.789473684210531,-40.0,-20.93023255813954,10.526315789473696,1.6167001324306691
